station_seqnum,metro_id,Nazwa_stacji,longitude,latitude,who_entered,country_seqnum,source_seqnum,use_index,station_id
1420327,92204,MIELĘCIN,16.26666667,53.13333333,7,221,118,1,253169992
1420328,92206,GOSTOMIA,16.43333333,53.18333333,7,221,118,1,253160160
1420329,92207,TUCZNO,16.14805556,53.195,7,221,118,1,253160150
1420330,92209,WAŁCZ,16.46666667,53.28333333,7,221,118,1,253169993
1420331,92210,MIROSŁAWIEC,16.08333333,53.35,7,221,118,1,253160130
1420332,92211,KARSIBÓR,16.4,53.36666667,7,221,118,1,253160120
1420333,92214,JASTROWIE,16.81666667,53.43333333,7,221,118,1,253160110
1420334,92216,SYPNIEWO,16.61666667,53.46666667,7,221,118,1,253169994
1420335,92219,OKONEK,16.85,53.53333333,7,221,118,1,253160080
1420336,92220,CZAPLINEK,16.23333333,53.56666667,7,221,118,1,253169995
1420337,92222,SILNOWO,16.5,53.63333333,7,221,118,1,253160070
1420338,92223,KLUCZEWO,16.18333333,53.65,7,221,118,1,253160060
1420339,92224,CZARNE,16.93333333,53.68333333,7,221,118,1,253169996
1420340,92226,BARWICE,16.35,53.75,7,221,118,1,253160050
1420341,92228,POWOJEWO,16.91666667,53.78333333,7,221,118,1,253169998
1420342,92230,GRZMIĄCA,16.43333333,53.83333333,7,221,118,1,253160040
1420343,92231,WIELANOWO,16.31666667,53.86666667,7,221,118,1,253160030
1420344,92234,SĘPOLNO WIELKIE,16.78333333,53.95,7,221,118,1,253160010
1420345,92235,SŁOSINKO,16.98333333,53.95,7,221,118,1,253169999
1420346,92253,OSÓWKO,16.06666667,53.9,7,221,118,1,253160020
1420347,92256,CHODZIEŻ,16.91666667,53.0,7,221,118,1,253169991
